plot,soil,number,species,survival21,dead21,height21,leaflength21,flowering21,survival_06/07/22,survival_06/14/22,survival_06/21/22,survival_06/28/22,survival_07/05/22,survival_07/19/22,survival_07/27/22,survival_08/03/22,survival_08/09/22,survival_08/23/22,survival22,dead22,ramets22,numflower22,flower22,height22,leaflength22,numleaves22_first,leaflength22_second,numleaves22_second,numleaves22,survival_jun23,survival23,dead23,height23,ramets23,leaflength23,numleaves23,numflower23,notes23,survival_jun24,survival24,dead24,height24,ramets24,leaflength24,numleaves24,numflower24,biomass_a24,biomass_b24,biomass24,notes24
15,dump,1,Lvul,1,0,44,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
15,dump,2,Toff,1,0,,18.5,N,1,,,,,,,,,,1,0,1,,0,,9.1,14,,,14,,0,1,,,,,,,,0,,,,,,,,,,
15,dump,3,Pmaj,1,0,,12.9,N,,,1,,,,,,,,1,0,1,,0,,7.2,6,,,6,,0,1,,,,,,,,0,,,,,,,,,,
16,tundra,1,Lvul,1,0,32,0,Y,,,,,,,,1,,,1,0,1,,0,2.2,,,,,,,0,1,,,,,,,,0,,,,,,,,,,
16,tundra,2,Pmaj,1,0,,12.4,Y,,,1,,,,,,,,1,0,1,,0,,4.7,4,,,4,,0,1,,,,,,,,0,,,,,,,,,,
16,tundra,3,Toff,1,0,,16.5,N,1,,,,,,,,,1,1,0,2,,0,,4.3,7,0.3,2,9,,0,1,,,,,,,,0,,,,,,,,,,
17,dump,1,Toff,1,0,,11.5,N,1,,,,,,,,,,1,0,1,,0,,6.7,9,,,9,,0,1,,,,,,,,0,,,,,,,,,,
17,dump,2,Pmaj,1,0,,11.5,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
17,dump,3,Lvul,1,0,33,0,Y,,,,,,,1,,,,1,0,1,,0,1.9,,,,,,,1,,2.3,1,,,,,,0,1,,,,,,,,,
18,tundra,1,Toff,1,0,,18.7,N,1,,,,,,,,,,1,0,1,,0,,5,7,,,7,,0,1,,,,,,,,0,,,,,,,,,,
18,tundra,2,Lvul,1,0,27,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
18,tundra,3,Pmaj,1,0,,8.6,Y,,,1,,,,,,,,1,0,1,,0,,7.7,8,,,8,,0,1,,,,,,,,0,,,,,,,,,,
19,tundra,1,Pmaj,1,0,,13.5,Y,,1,,,,,,,,,1,0,1,,0,,3.6,8,,,8,,0,1,,,,,,,,0,,,,,,,,,,
19,tundra,2,Toff,1,0,,10.3,N,1,,,,,,,,,,1,0,1,,0,,6.1,6,,,6,,0,1,,,,,,,,0,,,,,,,,,,
19,tundra,3,Lvul,1,0,38,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
20,tundra,1,Lvul,1,0,30,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
20,tundra,2,Toff,1,0,,22.8,N,1,,,,dead,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
20,tundra,3,Pmaj,1,0,,11.7,N,1,,,,,,,,,,1,0,1,,0,,6.2,6,,,6,,0,1,,,,,,,,0,,,,,,,,,,
21,tundra,1,Pmaj,1,0,,15.6,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
21,tundra,2,Lvul,1,0,123,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
21,tundra,3,Toff,1,0,,25.1,N,1,,,,dead,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
22,dump,1,Lvul,1,0,31,0,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
22,dump,2,Toff,1,0,,16.8,N,1,,,,,,,,,,1,0,1,,0,,4.2,12,,,12,,0,1,,,,,,,,0,,,,,,,,,,
22,dump,3,Pmaj,1,0,,15.3,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
23,dump,1,Pmaj,1,0,,14,N,,,1,,,,,,,,1,0,1,,0,,6.6,7,,,7,,0,1,,,,,,,,0,,,,,,,,,,
23,dump,2,Lvul,1,0,34,0,Y,,,,1,,,1,,,,1,0,2,,0,2.5,,,,,,,0,1,,,,,,,,0,,,,,,,,,,
23,dump,3,Toff,1,0,,11.1,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
24,tundra,1,Toff,1,0,,16.1,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
24,tundra,2,Pmaj,1,0,,12.3,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
24,tundra,3,Lvul,1,0,31,0,Y,,,,,,,1,,,,1,0,1,,0,2.5,,,,,,,0,1,,,,,,,,0,,,,,,,,,,
25,tundra,1,Lvul,1,0,31,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
25,tundra,2,Toff,1,0,,18.9,N,1,,,,dead,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
25,tundra,3,Pmaj,1,0,,10.8,N,,,1,,,,,,,,1,0,1,,0,,3.5,5,,,5,,0,1,,,,,,,,0,,,,,,,,,,
26,tundra,1,Toff,1,0,,10,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
26,tundra,2,Lvul,1,0,22,0,Y,,,,,,1,,,,,1,0,1,,0,4.7,,,,,,,0,1,,,,,,,,0,,,,,,,,,,
26,tundra,3,Pmaj,1,0,,14.2,N,1,,,,,,,,,,1,0,1,,0,,9,7,,,7,,0,1,,,,,,,,0,,,,,,,,,,
27,tundra,1,Lvul,1,0,41,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
27,tundra,2,Pmaj,1,0,,11.1,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
27,tundra,3,Toff,1,0,,11.2,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
28,dump,1,Pmaj,1,0,,9.5,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
28,dump,2,Lvul,1,0,31,0,Y,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
28,dump,3,Toff,1,0,,12,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
29,dump,1,Toff,1,0,,11.3,N,,,,,,,,,,,0,1,,,0,,,,,,,,0,,,,,,,,,0,,,,,,,,,,
29,dump,2,Pmaj,1,0,,12.2,N,,,1,,,,,,,,1,0,1,,0,,5.1,5,,,5,,0,1,,,,,,,,0,,,,,,,,,,
29,dump,3,Lvul,1,0,124,0,N,,,2,,,,,,,,1,0,2,8,1,17.9,,,,,,,0,1,,,,,,,,0,,,,,,,,,,
30,dump,1,Lvul,1,0,25,0,Y,,,,,,1,,,,,1,0,1,,0,3.8,,,,,,,0,1,,,,,,,,0,,,,,,,,,,
30,dump,2,Pmaj,1,0,,19.9,Y,,,,1,,,,,,,1,0,1,,0,,5.7,6,,,6,,0,1,,,,,,,,0,,,,,,,,,,
30,dump,3,Toff,1,0,,9.8,N,,1,,,,,,,,,1,0,1,,0,,8.4,6,,,6,,0,1,,,,,,,,0,,,,,,,,,,
